id,date,target,config_id,precision,recall,f1,fpr,halluc_rate,latency_ms,extra,cache_path,source_script,ledger_ids
svan_gray_robust6_clffilter,2026-06-05,robust6,svan_gray_pipe_1280,0.9359,0.5766,0.7136,0.0283,,,"clf->filter cascade, robust6 argmax (baseline). TP963 FP66 FN707",eval/results/_routing_pipeline_cmp,compare_routing_pipeline,robust8-grayscale-router
svan_gray_robust8_t10_clffilter,2026-06-05,robust8,svan_gray_pipe_1280,0.9133,0.7377,0.8162,0.0502,,,"clf->filter, robust8 tau=0.10; +16pp recall / +10pp F1 vs robust6 at ~equal precision. TP1232 FP117 FN438",eval/results/_routing_pipeline_cmp,compare_routing_pipeline,robust8-grayscale-router
svan_gray_robust8_t20_clffilter,2026-06-05,robust8,svan_gray_pipe_1280,0.9119,0.6814,0.78,0.0472,,,"clf->filter, robust8 tau=0.20 (recommended balanced ship); +10pp recall vs robust6, thermal intact",eval/results/_routing_pipeline_cmp,compare_routing_pipeline,robust8-grayscale-router
video_confuser_robust6_clffilter,2026-06-05,robust6,pipe_video_confuser,,,,0.0064,,,confuser-only (no drones); clf->filter fire-rate; robust6 best here (conservative). FP8/1250,eval/results/_routing_pipeline_cmp,compare_routing_pipeline,robust8-grayscale-router
video_confuser_robust8_t20_clffilter,2026-06-05,robust8,pipe_video_confuser,,,,0.0464,,,"clf->filter fire-rate; robust8 tau=0.20; ~7x robust6 (structural OOD-video cost, tau-robust 0.046-0.061). FP58/1250",eval/results/_routing_pipeline_cmp,compare_routing_pipeline,robust8-grayscale-router
ir_v3b_antiuav640_may10,2026-06-07,ir_v3b,antiuav_iou_640_may10,0.9868,0.945,0.9654,,,,"TP15910 FP213 FN926; bare IR v3b ir_only on Anti-UAV; thesis IR Anti-UAV saturation number, previously unrecorded",eval/results/_ablation/2026-05-10T16-08-14/master.csv,eval/ablate.py,antiuav-saturated
rgb_rgbds_baseline,2026-06-10,baseline,rgb_dataset_iou_640,0.9636,0.9211,0.9419,,,,"bare baseline RGB own test split @640 IoU stride-34; in-domain COMPETITIVE (ft4 0.929, rv2 0.949); retrained_v2 collapse is OOD-only not in-domain",thesis_eval/results/_rgb_sad_topup/rgb_dataset_test,eval/eval_model.py,
rgb_rgbds_retrainedv2,2026-06-10,retrained_v2,rgb_dataset_iou_640,0.9641,0.9350,0.9494,,,,"bare retrained_v2 RGB own test split @640 IoU stride-34; in-domain FINE (>baseline 0.942, >ft4 0.929); proves recall collapse is OOD-specific (Svan 0.462, selcom 0.007)",thesis_eval/results/_rgb_sad_topup/rgb_dataset_test,eval/eval_model.py,
selcom_retrainedv2_1280,2026-06-10,retrained_v2,selcom_iop_1280,0.2500,0.0034,0.0067,,,,"bare retrained_v2 selcom CCTV @1280 IoP; TOTAL COLLAPSE 1 TP/295 GT (baseline 0.145, ft4 0.591); aggressive confuser negs destroyed CCTV/distant recall",thesis_eval/results/_rgb_sad_topup/selcom,eval/eval_model.py,
tier1_svan_composed,2026-06-11,ft4+v3b+robust8(t0.20)+mlp_v5/aligned,tier1_unified,0.9388,0.9584,0.9485,,,,bare 0.7415; filt->clf[r8] 0.9629; clf[sa32] 0.9666; clf[robust6] 0.9514; n=4000 of 28710 svan paired,thesis_eval/results/tier1_results.json,thesis_eval/pipeline_eval_unified.py,
tier1_antiuav_composed,2026-06-11,production stack,tier1_unified,0.9816,0.9873,0.9844,,,,bare 0.9728 -> no-harm control; n=4000 of 85374 @640,thesis_eval/results/tier1_results.json,thesis_eval/pipeline_eval_unified.py,
tier1_rgbconf_pipeline,2026-06-11,production stack on rgb_confusers test,tier1_unified,,,,0.0015,,,fire: bare 0.3035 / clf[r8] 0.049 / mlp 0.0106 / patch 0.1022 / composed 0.0015 (4 FP in 2633); r6 composed 0.0011; sa32 0.0008,thesis_eval/results/tier1_results.json,thesis_eval/pipeline_eval_unified.py,
tier1_irconf_pipeline,2026-06-11,production stack on IR_confusers,tier1_unified,,,,0.2167,,,fire: bare 0.2943 / best composed robust6 0.1792 (-39pct) / r8 composed 0.2167; airplane-dominated (3043/871/86 of 4000); n=4000 of 5237,thesis_eval/results/tier1_results.json,thesis_eval/pipeline_eval_unified.py,
tier1_gray3way,2026-06-11,v3b cross-modal 3-way on svanstrom,tier1_unified,,,,,,,F1: RGB(ft4@1280) 0.6067 / IR-on-rawRGB 0.1874 / IR-on-gray 0.5796 -> conversion is load-bearing; gray_confuser fire 0.2378->0.0076 (aligned_gray); svan_gray drone over-veto at all thr (R<=0.27 @0.02),thesis_eval/results/tier1_results.json,thesis_eval/pipeline_eval_unified.py,
tier1_rgbtest_s4,2026-06-11,ft4 + verifiers on rgb_dataset_test,tier1_unified,0.9759,0.6912,0.8092,,,,bare 0.9259 (P.954/R.899) -> mlp carve-out -11.7pp reproduced @640; patch 0.8898; n=4000 of 17209,thesis_eval/results/tier1_results.json,thesis_eval/pipeline_eval_unified.py,
tier1_selcom_s4,2026-06-11,ft4 + verifiers on selcom_val,tier1_unified,0.95,0.4508,0.6115,,,,bare 0.5911 (matches known); mlp cuts FP 22->7 at zero recall cost; patch bit-identical to bare; n=311 full,thesis_eval/results/tier1_results.json,thesis_eval/pipeline_eval_unified.py,
temporal_video_production,2026-06-11,production arms on real-video clips (segment 2-of-3),video_temporal_2of3,,,0.7368,0.0813,,,best router cell robust6 (window P0.999/R0.584); bare 0.843@0.350 fire; composed r8 0.560@0.073; r6 composed 0.614@0.057; old replica sa32+patch 0.689@0.080; per-frame verifier over-vetoes OOD drones -> validates alert-gate placement,thesis_eval/results/temporal_results.json,thesis_eval/temporal_replay.py,
video_thr_sweep_2026_06_11,2026-06-11,verifier thr grid on video clips (segment 2-of-3),video_temporal_2of3,,,,,,,"composed[robust8]: thr0.25 R0.393/F1 0.560/fire0.073 -> thr0.01 R0.507/F1 0.665/fire0.094 (router-only R0.520/fire0.101); robust6: thr0.01 0.731@0.076 vs router-only 0.737@0.081 -> veto cost is threshold-SPREAD (drone probs smeared in 0.01-0.25), not a cliff; no thr keeps drones AND rejects confusers",thesis_eval/results/video_thr_sweep.json,thesis_eval/video_thr_sweep.py,gate-position-lesson
selcom_confsweep_lowconf_mlp,2026-06-11,ft4+mlp_v5,selcom_iop_1280,0.707,0.678,0.692,,,,conf=0.05 + mlp_v5@0.25; default-bare 0.591 / default-filt 0.612; F1 CI [0.654-0.730]; recall +22.7pp vs default; n=311 full,thesis_eval/cache_conf005/selcom_val.pkl,thesis_eval/conf_sweep_replay.py,recall-plus-filter-ood-mode
antiuav_confsweep_pipeline,2026-06-11,full pipeline robust8->mlp,antiuav_iou_640,,,0.976,,,,"conf sweep 0.05-0.50 both modalities flat: defaults rgb0.25/ir0.40 optimal (max 0.978 @ir0.5, CIs overlap); lowering IR hurts (0.957 @0.05); n=500 strided",thesis_eval/cache_conf005/antiuav.pkl,thesis_eval/conf_sweep_replay.py,recall-plus-filter-ood-mode
rgb_confuser_confsweep_lowconf,2026-06-11,ft4+mlp_v5,rgb_confuser_iou_640,,,,,,,"conf=0.05: bare 1281 FP -> filtered 45 (96.5% suppression, fire 0.016); default 0.25+filter = 29 FP; low conf is confuser-safe on RGB; n=2633 full",thesis_eval/cache_conf005/rgb_confuser.pkl,thesis_eval/conf_sweep_replay.py,recall-plus-filter-ood-mode
ir_confsweep_lowconf,2026-06-11,v3b+mlp_aligned,ir_dset_iou_640,,,,,,,"ir_dset_final bare peaks 0.965 @conf 0.30-0.35 vs 0.963 @default 0.40 (inside CI); aligned filter ~neutral (-0.3pp); ir_confusers: bare FP 1051->1911 when conf 0.40->0.05, thermal filter absorbs only ~18-20% -> do NOT lower IR conf",thesis_eval/cache_conf005/ir_dset_final.pkl,thesis_eval/conf_sweep_replay.py,recall-plus-filter-ood-mode
notes_m_ab_svan,2026-06-11,production stack,tier1_unified,,,0.9206,,,,Modality A/B COVERAGE scoring (absent/distrusted side GT=FN; differs from headline trust-aware): rgb_only 0.4579 / ir_only 0.6316 / both bare 0.7415 / routed[robust8] bare 0.9148 / routed+filt 0.9206 / both+filt 0.9071,thesis_eval/results/notes_round1_results.json,thesis_eval/notes_round1_replays.py,
notes_m_ab_antiuav,2026-06-11,production stack,tier1_unified,,,0.9733,,,,Modality A/B coverage scoring on antiuav: rgb_only 0.6432 / ir_only 0.6519 / both bare 0.9728 / routed+filt 0.9733 (no-harm; each modality sees ~half the paired GT),thesis_eval/results/notes_round1_results.json,thesis_eval/notes_round1_replays.py,
notes_per_size_all,2026-06-11,ft4,tier1_unified,,,,,,,"Per-size GT sqrt-area px buckets, bare+filt, all drone surfaces. KEY: rgb_test mlp carve-out is SMALL-DRONE concentrated (<16px R 0.7824->0.2562, 16-32 0.8649->0.4465, >=64 0.9555->0.9506); svan ft4 median GT 29.8px, selcom_val median 39.6px n_gt=295, antiuav ir median 37.0px",thesis_eval/results/notes_round1_results.json,thesis_eval/notes_round1_replays.py,
notes_per_cat_confusers,2026-06-11,production stack,tier1_unified,,,,,,,"Per-category confuser fire @640: rgb_confuser bare bird 0.3896/heli 0.5802/airplane 0.2339/other 0.0638 -> composed 0.0/0.0/0.0/0.0091; ir_confusers airplane 0.352->0.2553 composed, bird 0.1217->0.1033, heli 0.0; gray_confuser heli 0.7181->0.0082 filt. Category from filename stem",thesis_eval/results/notes_round1_results.json,thesis_eval/notes_round1_replays.py,
notes_failure_profile,2026-06-11,ft4,tier1_unified,,,,,,,"Svanstrom RGB confuser-seq fire by background: ground 0.646/horizon 0.741/sky 0.667 (background barely matters; object category drives FP). Drone-seqs RGB: P 0.92-1.0 all backgrounds, R sky 0.827 vs horizon 0.944 vs ground 0.933. IR confuser-seq fire 0/0.017/0.006. video_drone R confounded with clip distance. 282 manual seq tags, 1 annotator, coarse",thesis_eval/results/failure_profile_results.json,thesis_eval/failure_profile_aggregate.py,
notes_negative_frame_fire,2026-06-12,ir_v3b,tier1_unified,,,,,,,v3b fires on 1.64% of ir_dset_final's 1400 negative test frames (38 FP dets; 1.5% +aligned filter); ft4 on 0.93% of rgb_test's 859 negatives (0.35% +mlp). Negatives = the mined sea/sky/building scenes,thesis_eval/results/negative_frame_fire.json,thesis_eval/negative_frame_fire.py,
leak_svan_detclean,2026-06-12,svanstrom,tier1_svan_iop_1280,0.9152,0.9441,0.9294,,,,"det-clean 52/273 seqs n=767; v3b own-GT bare f1 0.8619 (vs 0.9401 headline); PULLED FROM THESIS 2026-06-12 pending full clean-split eval (svanstrom_clean cache surface, 5,557 frames)",thesis_eval/results/leakage_controlled.json,leakage_controlled_replay,
leak_auv_detclean,2026-06-12,antiuav,tier1_antiuav_iou_640,0.9826,0.988,0.9853,,,,"det-clean 60/90 segments n=2669; bare 0.9746/pipeline 0.9853; PULLED FROM THESIS 2026-06-12 pending full clean-split eval (antiuav_clean cache surface, 57,542 frames)",thesis_eval/results/leakage_controlled.json,leakage_controlled_replay,
clean_svan_full,2026-06-13,svanstrom,tier1_svan_iop_1280,0.9182,0.9521,0.9348,,,,"HELD-OUT CLEAN SPLIT (54 seqs / 5,557 frames, full, both-detector-clean): v3b solo 0.8674 (vs 0.9401, <=7.3pp inflation; rgb control -3.5pp), bare 0.6842, pipeline 0.9348 vs 0.9485 headline. IN THESIS tab:clean_split.",runs/clean_split/clean_split_results.json,pipeline_eval_unified,
clean_auv_full,2026-06-13,antiuav,tier1_antiuav_iou_640,0.9838,0.9885,0.9862,,,,"HELD-OUT CLEAN SPLIT (61 segs / 57,542 frames, full, IR-clean; RGB corpus touches all segments): bare 0.9765 vs 0.9728, pipeline 0.9862 vs 0.9844 - clean >= headline, zero inflation. IN THESIS tab:clean_split.",runs/clean_split/clean_split_results.json,pipeline_eval_unified,
svan_res_baseline_640,2026-06-13,baseline,svan_iop_640,0.4262,0.6838,0.5251,,,,"resolution 2x2 sweep, stride-7 n=4102, conf 0.25, bare; settles fig6_6 within-model: baseline loses 28pp at 640, NOT the 0.072 collapse (that is retrained_v2)",eval/results/svan_resolution_sweep.json,svan_resolution_sweep,
svan_res_retrainedv2_640,2026-06-13,retrained_v2,svan_iop_640,0.8239,0.0699,0.1289,,,,resolution 2x2 sweep; confirms the May-10 0.072 attribution was retrained_v2; @1280 same harness R=0.3234,eval/results/svan_resolution_sweep.json,svan_resolution_sweep,
dut_ft4_rgb_960,2026-06-13,ft4,dut_antiuav_960,0.9485,0.8539,0.8987,,,,bare RGB selcom-1280; TP1917 FP104 FN328; IN-DOMAIN,thesis_eval/cache/dut_antiuav_960.pkl,thesis_eval/pipeline_eval_unified.py,
dut_ft4_rgb_640,2026-06-13,ft4,dut_antiuav_640,0.9487,0.7826,0.8577,,,,bare RGB selcom-1280; TP1757 FP95 FN488; IN-DOMAIN,thesis_eval/cache/dut_antiuav_640.pkl,thesis_eval/pipeline_eval_unified.py,
dut_v3b_gray_960,2026-06-13,ir_v3b,dut_antiuav_960,0.748,0.4958,0.5963,,,,v3b on gray(RGB); TP1113 FP375 FN1132; cross-domain fallback,thesis_eval/cache/dut_antiuav_960.pkl,thesis_eval/pipeline_eval_unified.py,
dut_v3b_gray_640,2026-06-13,ir_v3b,dut_antiuav_640,0.7143,0.4187,0.5279,,,,v3b on gray(RGB); TP940 FP376 FN1305; cross-domain fallback,thesis_eval/cache/dut_antiuav_640.pkl,thesis_eval/pipeline_eval_unified.py,
